contractID,symbol,expiration,strike,type,last,mark,bid,bid_size,ask,ask_size,volume,open_interest,date,implied_volatility,delta,gamma,theta,vega,rho
SPY251126C00615000,SPY,2025-11-26,615.00,call,65.68,65.12,63.72,2,66.53,10,50,55,2025-11-26,1.01485,0.97200,0.00178,-1.22304,0.02286,0.01632
SPY251126P00615000,SPY,2025-11-26,615.00,put,0.01,0.01,0.00,0,0.01,182,3,2720,2025-11-26,0.64413,-0.00141,0.00020,-0.05285,0.00164,-0.00003
SPY251126C00616000,SPY,2025-11-26,616.00,call,65.57,64.12,62.72,2,65.52,10,25,0,2025-11-26,0.99534,0.97234,0.00180,-1.18951,0.02263,0.01635
SPY251126P00616000,SPY,2025-11-26,616.00,put,0.00,0.01,0.00,0,0.01,182,0,373,2025-11-26,0.64413,-0.00165,0.00023,-0.06095,0.00190,-0.00003
SPY251126C00617000,SPY,2025-11-26,617.00,call,64.24,63.12,61.72,10,64.53,10,21,0,2025-11-26,0.97583,0.97269,0.00181,-1.15592,0.02239,0.01638
SPY251126P00617000,SPY,2025-11-26,617.00,put,0.00,0.01,0.00,0,0.01,182,0,1215,2025-11-26,0.62462,-0.00145,0.00021,-0.05233,0.00168,-0.00003
SPY251126C00618000,SPY,2025-11-26,618.00,call,63.27,62.12,60.72,2,63.53,10,38,0,2025-11-26,0.95632,0.97305,0.00183,-1.12227,0.02214,0.01642
SPY251126P00618000,SPY,2025-11-26,618.00,put,0.00,0.01,0.00,0,0.01,182,0,1572,2025-11-26,0.62462,-0.00170,0.00025,-0.06058,0.00194,-0.00003
SPY251126C00619000,SPY,2025-11-26,619.00,call,62.10,61.12,59.72,2,62.53,10,4,0,2025-11-26,0.95632,0.97098,0.00195,-1.18964,0.02355,0.01641
SPY251126P00619000,SPY,2025-11-26,619.00,put,0.00,0.01,0.00,0,0.01,182,0,198,2025-11-26,0.60511,-0.00148,0.00022,-0.05179,0.00172,-0.00003
SPY251126C00620000,SPY,2025-11-26,620.00,call,60.74,60.12,58.72,2,61.52,10,5,21,2025-11-26,0.93681,0.97134,0.00197,-1.15530,0.02330,0.01644
SPY251126P00620000,SPY,2025-11-26,620.00,put,0.01,0.01,0.00,0,0.01,795,10,1951,2025-11-26,0.60511,-0.00175,0.00026,-0.06018,0.00199,-0.00003
SPY251126C00621000,SPY,2025-11-26,621.00,call,59.29,59.12,57.72,2,60.53,10,2,0,2025-11-26,0.91729,0.97172,0.00198,-1.12089,0.02305,0.01648
SPY251126P00621000,SPY,2025-11-26,621.00,put,0.00,0.01,0.00,0,0.01,795,0,9780,2025-11-26,0.58560,-0.00152,0.00024,-0.05121,0.00175,-0.00003
SPY251126C00622000,SPY,2025-11-26,622.00,call,55.63,58.12,56.72,2,59.52,10,2,0,2025-11-26,0.91729,0.96948,0.00211,-1.18994,0.02455,0.01646
SPY251126P00622000,SPY,2025-11-26,622.00,put,0.00,0.01,0.00,0,0.01,795,0,6990,2025-11-26,0.58560,-0.00180,0.00028,-0.05974,0.00204,-0.00003
SPY251126C00623000,SPY,2025-11-26,623.00,call,57.29,57.12,55.72,10,58.53,10,4,0,2025-11-26,0.89778,0.96986,0.00214,-1.15482,0.02430,0.01650
SPY251126P00623000,SPY,2025-11-26,623.00,put,0.00,0.01,0.00,0,0.01,182,0,173,2025-11-26,0.56608,-0.00155,0.00025,-0.05059,0.00179,-0.00003
SPY251126C00624000,SPY,2025-11-26,624.00,call,53.52,56.12,54.72,2,57.53,10,2,0,2025-11-26,0.87827,0.97026,0.00216,-1.11963,0.02404,0.01653
SPY251126P00624000,SPY,2025-11-26,624.00,put,0.01,0.01,0.00,0,0.01,182,4,320,2025-11-26,0.56608,-0.00185,0.00029,-0.05928,0.00210,-0.00003
SPY251126C00625000,SPY,2025-11-26,625.00,call,55.84,55.12,53.72,2,56.53,10,4,3,2025-11-26,0.85876,0.97067,0.00219,-1.08439,0.02376,0.01657
SPY251126P00625000,SPY,2025-11-26,625.00,put,0.01,0.01,0.00,0,0.01,670,73,23069,2025-11-26,0.54657,-0.00159,0.00026,-0.04994,0.00183,-0.00003
SPY251126C00626000,SPY,2025-11-26,626.00,call,54.84,54.12,52.72,2,55.53,10,5,0,2025-11-26,0.85876,0.96821,0.00234,-1.15458,0.02539,0.01655
SPY251126P00626000,SPY,2025-11-26,626.00,put,0.01,0.01,0.00,0,0.01,670,96,1902,2025-11-26,0.54657,-0.00190,0.00031,-0.05879,0.00216,-0.00004
SPY251126C00627000,SPY,2025-11-26,627.00,call,53.99,53.12,51.72,2,54.53,10,20,0,2025-11-26,0.83925,0.96862,0.00237,-1.11860,0.02512,0.01658
SPY251126P00627000,SPY,2025-11-26,627.00,put,0.01,0.01,0.00,0,0.01,182,19,2392,2025-11-26,0.52706,-0.00163,0.00028,-0.04925,0.00187,-0.00003
SPY251126C00628000,SPY,2025-11-26,628.00,call,52.56,52.12,50.72,2,53.52,10,2,1,2025-11-26,0.81974,0.96905,0.00239,-1.08255,0.02484,0.01662
SPY251126P00628000,SPY,2025-11-26,628.00,put,0.01,0.01,0.00,0,0.01,670,90,6100,2025-11-26,0.52706,-0.00196,0.00033,-0.05827,0.00222,-0.00004
SPY251126C00629000,SPY,2025-11-26,629.00,call,51.92,51.12,49.72,10,52.53,10,6,2,2025-11-26,0.81974,0.96637,0.00256,-1.15469,0.02660,0.01659
SPY251126P00629000,SPY,2025-11-26,629.00,put,0.01,0.01,0.00,0,0.01,182,2,680,2025-11-26,0.50755,-0.00167,0.00030,-0.04852,0.00192,-0.00003
SPY251126C00630000,SPY,2025-11-26,630.00,call,51.36,50.12,48.72,10,51.53,10,38,26,2025-11-26,0.80022,0.96679,0.00260,-1.11789,0.02633,0.01663
SPY251126P00630000,SPY,2025-11-26,630.00,put,0.01,0.01,0.00,0,0.01,545,12,2458,2025-11-26,0.50755,-0.00202,0.00035,-0.05772,0.00228,-0.00004
SPY251126C00631000,SPY,2025-11-26,631.00,call,50.36,49.12,47.72,10,50.53,10,53,1,2025-11-26,0.78071,0.96724,0.00263,-1.08102,0.02604,0.01667
SPY251126P00631000,SPY,2025-11-26,631.00,put,0.00,0.01,0.00,0,0.01,182,0,1986,2025-11-26,0.48804,-0.00172,0.00032,-0.04776,0.00196,-0.00003
SPY251126C00632000,SPY,2025-11-26,632.00,call,49.32,48.12,46.72,2,49.53,10,5,3,2025-11-26,0.78071,0.96430,0.00283,-1.15527,0.02794,0.01664
SPY251126P00632000,SPY,2025-11-26,632.00,put,0.01,0.01,0.00,0,0.01,182,25,1947,2025-11-26,0.48804,-0.00209,0.00038,-0.05714,0.00235,-0.00004
SPY251126C00633000,SPY,2025-11-26,633.00,call,48.18,47.12,45.72,2,48.53,10,4,7,2025-11-26,0.76120,0.96473,0.00287,-1.11765,0.02767,0.01667
SPY251126P00633000,SPY,2025-11-26,633.00,put,0.01,0.01,0.00,0,0.01,182,23,1735,2025-11-26,0.46853,-0.00176,0.00034,-0.04696,0.00201,-0.00003
SPY251126C00634000,SPY,2025-11-26,634.00,call,46.68,46.13,44.72,2,47.54,10,11,2,2025-11-26,0.74169,0.96518,0.00292,-1.07993,0.02737,0.01671
SPY251126P00634000,SPY,2025-11-26,634.00,put,0.01,0.01,0.00,0,0.01,182,5,1839,2025-11-26,0.46853,-0.00216,0.00041,-0.05654,0.00242,-0.00004
SPY251126C00635000,SPY,2025-11-26,635.00,call,45.26,45.12,43.72,2,46.52,10,6,13,2025-11-26,0.72218,0.96566,0.00296,-1.04214,0.02706,0.01675
SPY251126P00635000,SPY,2025-11-26,635.00,put,0.01,0.01,0.00,0,0.01,670,344,3538,2025-11-26,0.44901,-0.00181,0.00036,-0.04612,0.00206,-0.00003
SPY251126C00636000,SPY,2025-11-26,636.00,call,33.93,44.12,42.72,10,45.53,10,0,26,2025-11-26,0.72218,0.96237,0.00319,-1.11802,0.02917,0.01671
SPY251126P00636000,SPY,2025-11-26,636.00,put,0.01,0.01,0.00,0,0.01,182,94,10702,2025-11-26,0.44901,-0.00224,0.00044,-0.05591,0.00250,-0.00004
SPY251126C00637000,SPY,2025-11-26,637.00,call,43.38,43.12,41.72,10,44.53,10,55,1,2025-11-26,0.70267,0.96283,0.00325,-1.07945,0.02887,0.01675
SPY251126P00637000,SPY,2025-11-26,637.00,put,0.01,0.01,0.00,0,0.01,182,5,2615,2025-11-26,0.42950,-0.00186,0.00039,-0.04525,0.00211,-0.00003
SPY251126C00638000,SPY,2025-11-26,638.00,call,43.36,42.12,40.72,2,43.53,10,31,4,2025-11-26,0.68315,0.96332,0.00330,-1.04079,0.02856,0.01678
SPY251126P00638000,SPY,2025-11-26,638.00,put,0.01,0.01,0.00,0,0.01,182,8,2254,2025-11-26,0.42950,-0.00232,0.00047,-0.05526,0.00258,-0.00004
SPY251126C00639000,SPY,2025-11-26,639.00,call,41.53,41.12,39.72,2,42.53,10,60,63,2025-11-26,0.68315,0.95967,0.00357,-1.11922,0.03086,0.01674
SPY251126P00639000,SPY,2025-11-26,639.00,put,0.01,0.01,0.00,0,0.01,182,2,950,2025-11-26,0.40999,-0.00192,0.00042,-0.04434,0.00217,-0.00004
SPY251126C00640000,SPY,2025-11-26,640.00,call,40.86,40.12,38.72,2,41.53,10,33,317,2025-11-26,0.66364,0.96013,0.00364,-1.07979,0.03058,0.01678
SPY251126P00640000,SPY,2025-11-26,640.00,put,0.01,0.01,0.00,0,0.01,570,549,14719,2025-11-26,0.40999,-0.00241,0.00051,-0.05459,0.00267,-0.00005
SPY251126C00641000,SPY,2025-11-26,641.00,call,39.65,39.12,37.72,2,40.53,10,39,16,2025-11-26,0.64413,0.96062,0.00371,-1.04024,0.03027,0.01682
SPY251126P00641000,SPY,2025-11-26,641.00,put,0.01,0.01,0.00,0,0.01,182,103,449,2025-11-26,0.39048,-0.00197,0.00045,-0.04339,0.00223,-0.00004
SPY251126C00642000,SPY,2025-11-26,642.00,call,38.99,38.12,36.72,2,39.53,10,5,29,2025-11-26,0.62462,0.96114,0.00379,-1.00059,0.02994,0.01685
SPY251126P00642000,SPY,2025-11-26,642.00,put,0.01,0.01,0.00,0,0.01,182,465,1044,2025-11-26,0.39048,-0.00251,0.00056,-0.05389,0.00277,-0.00005
SPY251126C00643000,SPY,2025-11-26,643.00,call,38.18,37.13,35.78,1,38.48,1,25,11,2025-11-26,0.62462,0.95696,0.00411,-1.08117,0.03253,0.01680
SPY251126P00643000,SPY,2025-11-26,643.00,put,0.01,0.01,0.00,0,0.01,182,121,719,2025-11-26,0.37097,-0.00204,0.00049,-0.04240,0.00229,-0.00004
SPY251126C00644000,SPY,2025-11-26,644.00,call,37.23,36.13,34.78,1,37.48,1,31,15,2025-11-26,0.60511,0.95744,0.00421,-1.04074,0.03224,0.01684
SPY251126P00644000,SPY,2025-11-26,644.00,put,0.01,0.01,0.00,0,0.01,182,38,1451,2025-11-26,0.37097,-0.00262,0.00061,-0.05318,0.00288,-0.00005
SPY251126C00645000,SPY,2025-11-26,645.00,call,35.28,35.13,33.78,1,36.48,1,28,252,2025-11-26,0.58560,0.95795,0.00431,-1.00019,0.03192,0.01688
SPY251126P00645000,SPY,2025-11-26,645.00,put,0.01,0.01,0.00,0,0.01,695,341,24758,2025-11-26,0.35146,-0.00211,0.00053,-0.04138,0.00236,-0.00004
SPY251126C00646000,SPY,2025-11-26,646.00,call,35.27,34.13,32.78,1,35.48,1,64,5,2025-11-26,0.58560,0.95322,0.00469,-1.08392,0.03479,0.01681
SPY251126P00646000,SPY,2025-11-26,646.00,put,0.01,0.01,0.00,0,0.01,232,632,3732,2025-11-26,0.35146,-0.00274,0.00067,-0.05247,0.00300,-0.00005
SPY251126C00647000,SPY,2025-11-26,647.00,call,32.76,33.13,31.78,1,34.48,1,21,54,2025-11-26,0.56608,0.95366,0.00482,-1.04262,0.03453,0.01685
SPY251126P00647000,SPY,2025-11-26,647.00,put,0.01,0.01,0.00,0,0.01,182,9070,7715,2025-11-26,0.33194,-0.00218,0.00058,-0.04032,0.00244,-0.00004
SPY251126C00648000,SPY,2025-11-26,648.00,call,33.52,32.13,30.78,1,33.48,1,38,147,2025-11-26,0.54657,0.95414,0.00495,-1.00116,0.03424,0.01689
SPY251126P00648000,SPY,2025-11-26,648.00,put,0.01,0.01,0.00,0,0.01,895,18076,1263,2025-11-26,0.33194,-0.00287,0.00075,-0.05174,0.00313,-0.00005
SPY251126C00649000,SPY,2025-11-26,649.00,call,31.68,31.13,29.78,1,32.48,1,43,239,2025-11-26,0.52706,0.95467,0.00508,-0.95957,0.03392,0.01693
SPY251126P00649000,SPY,2025-11-26,649.00,put,0.01,0.01,0.00,0,0.01,205,6548,2956,2025-11-26,0.31243,-0.00226,0.00064,-0.03923,0.00252,-0.00004
SPY251126C00650000,SPY,2025-11-26,650.00,call,30.49,30.13,28.78,1,31.48,1,80,278,2025-11-26,0.52706,0.94909,0.00558,-1.04626,0.03722,0.01685
SPY251126P00650000,SPY,2025-11-26,650.00,put,0.01,0.01,0.00,0,0.01,755,10524,7120,2025-11-26,0.31243,-0.00303,0.00083,-0.05102,0.00328,-0.00006
SPY251126C00651000,SPY,2025-11-26,651.00,call,29.90,29.13,27.78,1,30.48,1,34,69,2025-11-26,0.50755,0.94951,0.00576,-1.00393,0.03698,0.01688
SPY251126P00651000,SPY,2025-11-26,651.00,put,0.01,0.01,0.00,0,0.01,182,1046,1653,2025-11-26,0.29292,-0.00235,0.00070,-0.03811,0.00261,-0.00004
SPY251126C00652000,SPY,2025-11-26,652.00,call,29.31,28.13,26.78,1,29.48,1,40,420,2025-11-26,0.48804,0.94997,0.00594,-0.96144,0.03671,0.01692
SPY251126P00652000,SPY,2025-11-26,652.00,put,0.01,0.01,0.00,0,0.01,362,741,2553,2025-11-26,0.29292,-0.00320,0.00093,-0.05031,0.00345,-0.00006
SPY251126C00653000,SPY,2025-11-26,653.00,call,28.09,27.13,25.78,1,28.48,1,5,221,2025-11-26,0.46853,0.95048,0.00614,-0.91878,0.03641,0.01696
SPY251126P00653000,SPY,2025-11-26,653.00,put,0.01,0.01,0.00,0,0.01,215,1075,2998,2025-11-26,0.27341,-0.00246,0.00079,-0.03696,0.00272,-0.00005
SPY251126C00654000,SPY,2025-11-26,654.00,call,27.30,26.13,24.78,1,27.48,1,78,542,2025-11-26,0.46853,0.94376,0.00679,-1.00903,0.04028,0.01686
SPY251126P00654000,SPY,2025-11-26,654.00,put,0.01,0.01,0.00,0,0.01,182,4443,5229,2025-11-26,0.27341,-0.00341,0.00105,-0.04963,0.00365,-0.00006
SPY251126C00655000,SPY,2025-11-26,655.00,call,25.37,25.13,23.78,1,26.48,1,38,692,2025-11-26,0.44901,0.94408,0.00706,-0.96569,0.04009,0.01689
SPY251126P00655000,SPY,2025-11-26,655.00,put,0.03,0.01,0.00,0,0.01,693,9021,5294,2025-11-26,0.25390,-0.00257,0.00088,-0.03578,0.00283,-0.00005
SPY251126C00656000,SPY,2025-11-26,656.00,call,24.36,24.13,22.78,1,25.48,1,184,1020,2025-11-26,0.42950,0.94446,0.00734,-0.92216,0.03988,0.01693
SPY251126P00656000,SPY,2025-11-26,656.00,put,0.01,0.01,0.00,0,0.01,182,2866,2429,2025-11-26,0.25390,-0.00365,0.00121,-0.04900,0.00388,-0.00007
SPY251126C00657000,SPY,2025-11-26,657.00,call,23.43,23.13,21.78,1,24.48,1,77,395,2025-11-26,0.40999,0.94488,0.00764,-0.87844,0.03964,0.01696
SPY251126P00657000,SPY,2025-11-26,657.00,put,0.01,0.01,0.00,0,0.01,182,2746,2723,2025-11-26,0.23438,-0.00271,0.00100,-0.03459,0.00297,-0.00005
SPY251126C00658000,SPY,2025-11-26,658.00,call,23.03,22.13,20.78,1,23.48,1,39,579,2025-11-26,0.40999,0.93653,0.00853,-0.97305,0.04428,0.01683
SPY251126P00658000,SPY,2025-11-26,658.00,put,0.01,0.01,0.00,0,0.01,182,2308,3280,2025-11-26,0.23438,-0.00394,0.00140,-0.04844,0.00416,-0.00007
SPY251126C00659000,SPY,2025-11-26,659.00,call,21.32,21.13,19.78,1,22.48,1,152,1246,2025-11-26,0.39048,0.93664,0.00895,-0.92876,0.04422,0.01686
